,model_uuid,model_path,ampl_version,model_type,dataset_key,features,splitter,model_score_type,feature_transform_type,model_choice_score,best_train_r2_score,best_train_rms_score,best_train_mae_score,best_train_num_compounds,best_valid_r2_score,best_valid_rms_score,best_valid_mae_score,best_valid_num_compounds,best_test_r2_score,best_test_rms_score,best_test_mae_score,best_test_num_compounds,rf_estimators,rf_max_features,rf_max_depth,max_epochs,best_epoch,learning_rate,layer_sizes,dropouts,xgb_gamma,xgb_learning_rate,model_parameters_dict,feat_parameters_dict
72,a019d53f-e4ea-4fc9-8675-102e7ec04e52,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_a019d53f-e4ea-4fc9-8675-102e7ec04e52.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7236334680615917,0.975446080314658,0.28618808800836626,0.20848893255943715,359,0.7236334680615917,0.7520575013013122,0.5903126572207933,77,0.8177074512694357,0.7244566987251887,0.5727730045758569,78,306.0,137.0,30.0,,,,,,,,"{""rf_estimators"": 306, ""rf_max_depth"": 30, ""rf_max_features"": 137}",{}
80,485411ff-2d17-40de-b128-273d85a8af18,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_485411ff-2d17-40de-b128-273d85a8af18.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7236264940789012,0.9730028856008435,0.3000888167664859,0.22518462904701617,359,0.7236264940789012,0.7520669901545249,0.5826860406163363,77,0.8278016569099693,0.7041131546206488,0.5639607493335601,78,357.0,21.0,11.0,,,,,,,,"{""rf_estimators"": 357, ""rf_max_depth"": 11, ""rf_max_features"": 21}",{}
58,1b40cc63-a0e2-4956-88fa-205e328fe29b,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_1b40cc63-a0e2-4956-88fa-205e328fe29b.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.722420418048765,0.96318631917829,0.35042554626386996,0.2660843859657074,359,0.722420418048765,0.753706189511616,0.599919028566722,77,0.8158812263226101,0.7280764952032492,0.5778871412806558,78,254.0,161.0,7.0,,,,,,,,"{""rf_estimators"": 254, ""rf_max_depth"": 7, ""rf_max_features"": 161}",{}
27,9c23eff3-3af3-4001-902e-535de37e5a2b,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_9c23eff3-3af3-4001-902e-535de37e5a2b.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7216492576878923,0.9684547415617987,0.3243830721564218,0.24556808176903364,359,0.7216492576878923,0.7547524213823691,0.5950776465409852,77,0.8152475416286467,0.729328335595408,0.5751618195346928,78,509.0,137.0,8.0,,,,,,,,"{""rf_estimators"": 509, ""rf_max_depth"": 8, ""rf_max_features"": 137}",{}
88,77489a6a-48a3-46ed-b211-d9b8e29d7b4d,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_77489a6a-48a3-46ed-b211-d9b8e29d7b4d.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7214260918177051,0.9751720732598836,0.2877805016657257,0.2129569725061496,359,0.7214260918177051,0.7550549196487886,0.5842445224606421,77,0.8234592056096844,0.7129359459111562,0.5638149887029646,78,380.0,44.0,14.0,,,,,,,,"{""rf_estimators"": 380, ""rf_max_depth"": 14, ""rf_max_features"": 44}",{}
78,a174b765-1eeb-4b4d-bb4e-5e6c06365eb0,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_a174b765-1eeb-4b4d-bb4e-5e6c06365eb0.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7209065518019766,0.9754315674756654,0.28627265267563784,0.20913596644269744,359,0.7209065518019766,0.7557586799483957,0.5920026778458408,77,0.8164837884176239,0.7268841376325205,0.5733099525129234,78,351.0,174.0,17.0,,,,,,,,"{""rf_estimators"": 351, ""rf_max_depth"": 17, ""rf_max_features"": 174}",{}
8,ed9fc657-e636-4c18-8799-b8ecb94d0cbe,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_ed9fc657-e636-4c18-8799-b8ecb94d0cbe.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7207957075279559,0.975576103639887,0.28542933909320845,0.20757073029748627,359,0.7207957075279559,0.7559087429591318,0.5975858709810996,77,0.8111948899010443,0.7372840627296084,0.5854606223322097,78,112.0,182.0,17.0,,,,,,,,"{""rf_estimators"": 112, ""rf_max_depth"": 17, ""rf_max_features"": 182}",{}
0,f1d02063-cc0a-4e72-8a71-b6b7a4dd52f7,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_f1d02063-cc0a-4e72-8a71-b6b7a4dd52f7.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7204576515195689,0.9726214438996863,0.30220135544560633,0.22624832612152868,359,0.7204576515195689,0.7563662255180787,0.5922090673649596,77,0.8159915399147326,0.7278583513229656,0.578760615598618,78,462.0,190.0,9.0,,,,,,,,"{""rf_estimators"": 462, ""rf_max_depth"": 9, ""rf_max_features"": 190}",{}
50,2e941f36-decd-41af-95bc-8bf3b069a179,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_2e941f36-decd-41af-95bc-8bf3b069a179.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.7203383004969137,0.9764764973188917,0.2801187194559024,0.2060455672785964,359,0.7203383004969137,0.7565276741313348,0.5964616943568253,77,0.8133179813921079,0.7331270065449058,0.5825593291497657,78,382.0,188.0,14.0,,,,,,,,"{""rf_estimators"": 382, ""rf_max_depth"": 14, ""rf_max_features"": 188}",{}
51,da482780-50bb-4623-9f41-04a94a0443ff,tmp_kcna3_rdkit_raw/curated_kcna3_ic50_model_da482780-50bb-4623-9f41-04a94a0443ff.tar.gz,1.6.0,RF,/home/apaulson/repos/AMPL_umbrella/AMPL/atomsci/ddm/examples/tutorials2023/dataset/curated_kcna3_ic50.csv,rdkit_raw,scaffold,r2,normalization,0.720333570912742,0.9756662219738483,0.28490226946866537,0.20986329822985803,359,0.720333570912742,0.7565340712285985,0.5875874356166294,77,0.8268665432175992,0.7060223901352201,0.5577307081757323,78,367.0,84.0,16.0,,,,,,,,"{""rf_estimators"": 367, ""rf_max_depth"": 16, ""rf_max_features"": 84}",{}
